tnum	tval	tname	tplateau
7	5	Enterprisewide Carbon and Energy Management Software	Two_to_five_years
7	5	Model-Driven Security	Five_to_10_years
11	8	Enterprise Content Management for Government	Two_to_five_years
11	8	IT Service Desk Tools	Less_than_two_years
11	8	Mobile Consumer Banking (U.S.)	Less_than_two_years
11	8	Process Templates	Five_to_10_years
14	13	Federated Identity Management	Less_than_two_years
14	13	Hybrid Cloud Computing	Five_to_10_years
14	13	In-Memory Database Management Systems	Two_to_five_years
14	13	In-Store Self-Service:  Customer-Facing Applications	Two_to_five_years
16	18	Affective Computing	Five_to_10_years
16	18	Basic Web Services	Less_than_two_years
16	18	Video Telephony:  Enterprise	Two_to_five_years
16	18	Virtualization C&SI Services	Two_to_five_years
17	23	B2B Web Services	Two_to_five_years
17	23	Bare-Metal Restore	Two_to_five_years
17	23	Business Rule Engines	Less_than_two_years
17	23	Cloud-Enabled BPM Platforms	Two_to_five_years
17	23	Comprehensive Performance Management Suites	Five_to_10_years
17	23	Multicore Processors	Two_to_five_years
17	23	Natural-Language Speech Recognition	Less_than_two_years
17	23	Pattern Seeking	Five_to_10_years
18	28	Business Process Management Suites	Two_to_five_years
18	28	Hiring and Recruiting Outsourcing	Two_to_five_years
18	28	Security Outsourcing	Two_to_five_years
18	28	Sustainability Business Operations Consulting Services	Five_to_10_years
19	33	Complex-Event Processing	Five_to_10_years
19	33	Convergent Communications Advertising Platforms	Five_to_10_years
19	33	Entitlement Management	Five_to_10_years
19	33	Eye Tracking ? Automotive	Five_to_10_years
19	33	OSGi for Application Infrastructure Middleware	Two_to_five_years
19	33	Remote Diagnostics	Five_to_10_years
20	38	Automotive Business Process Fusion	Five_to_10_years
20	38	Content Analytics	Five_to_10_years
20	38	Desktop Outsourcing	Less_than_two_years
20	38	E-Discovery for Government	Two_to_five_years
20	38	MDM of Product Data	Two_to_five_years
20	38	SOA Backplane	Two_to_five_years
20	38	Source-to-Pay BPO	Five_to_10_years
20	38	Speech-to-Speech Translation	Five_to_10_years
21	43	Memristor Memory	Five_to_10_years
21	43	Processor Emulation	Five_to_10_years
21	43	Web and Application Hosting	Less_than_two_years
22	48	E-Commerce Web 2.0 Sales Tools	Two_to_five_years
22	48	ESB Suites	Less_than_two_years
22	48	Service Component Architecture	Five_to_10_years
22	48	Social Analytics	Two_to_five_years
22	48	Water Management	Five_to_10_years
23	53	BPM for Government	Two_to_five_years
23	53	Business Process Management Suites ? Health Insurance	Two_to_five_years
23	53	Comprehensive Human Resources BPO	Two_to_five_years
23	53	Customer Service Process Integration	Two_to_five_years
23	53	Disaster Recovery and Business Continuity	Less_than_two_years
23	53	E-Mail Archiving	Two_to_five_years
23	53	HPC-Optimized Server Designs	Less_than_two_years
23	53	IT Asset Management Tools and Process	Two_to_five_years
23	53	MDM of Customer Data	Two_to_five_years
23	53	P2V Server Management	Less_than_two_years
23	53	Product Life Cycle Management in Automotive	Five_to_10_years
23	53	RIA Platforms	Two_to_five_years
23	53	Skinless Servers	Five_to_10_years
23	53	Social Software for Retail Employee Collaboration	Five_to_10_years
23	53	Thin Provisioning	Two_to_five_years
24	58	Blade Servers	Two_to_five_years
24	58	Information Life Cycle Management	Two_to_five_years
24	58	SOA Governance Technologies	Two_to_five_years
24	58	Test Lab Provisioning	Less_than_two_years
24	58	Unified Communications	Two_to_five_years
24	58	iSCSI	Two_to_five_years
25	63	Grid Computing Without Using Public Cloud Computers	Less_than_two_years
25	63	HR Transformation	Five_to_10_years
25	63	MRM Analytics	Five_to_10_years
25	63	Service-Oriented Business Applications	Two_to_five_years
26	68	Composite Applications	Two_to_five_years
26	68	Mobile Consumer Banking (Western and Northern Europe)	Less_than_two_years
26	68	Payroll Outsourcing	Two_to_five_years
27	73	Capacity on Demand (Unix)	Two_to_five_years
27	73	IAM Managed and Hosted Services	Five_to_10_years
27	73	In-Memory Analytics	Two_to_five_years
27	73	Linux on System z	Less_than_two_years
27	73	NA Healthcare Insurance Core BPO	Five_to_10_years
27	73	Next-Generation Retail OSs for POS	Five_to_10_years
27	73	Private Cloud Computing	Two_to_five_years
27	73	Social Network Analysis	Five_to_10_years
27	73	Spring Framework	Less_than_two_years
28	78	B2B Gateway Software	Two_to_five_years
28	78	Bluetooth Medical Device Profile	Five_to_10_years
