r	c	color	word
1	1	1	불안하다
1	2	101	없음
1	3	3	가슴벅차다
1	4	101	없음
1	5	5	온화하다, 사랑스럽다, 어이없다, 막막하다
1	6	101	없음
1	7	101	없음
1	8	8	짜릿하다
1	9	9	짜릿하다
1	10	10	멋지다, 자신있다, 생기있다
2	1	101	없음
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	17	짜릿하다
2	8	18	씩씩하다
2	9	19	흥겹다, 씩씩하다
2	10	20	활기차다, 활기차다
3	1	21	보기좋다
3	2	101	없음
3	3	23	보기좋다, 압박감이들다
3	4	101	없음
3	5	25	멍해진다
3	6	101	없음
3	7	27	염려스럽다
3	8	28	당황스럽다
3	9	29	짜릿하다, 시원하다, 쾌활하다
3	10	30	활발하다
4	1	31	좋다
4	2	32	편안하다
4	3	101	없음
4	4	34	지겹다, 열망,애정을느낀다
4	5	101	없음
4	6	36	편안하다, 훈훈하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	성질난다
5	2	101	없음
5	3	43	불안하다
5	4	101	없음
5	5	45	분통이터진다, 자신있다
5	6	101	없음
5	7	47	마음이가볍다
5	8	48	평화롭다
5	9	49	걱정스럽다
5	10	101	없음
6	1	51	골치아프다
6	2	52	서럽다
6	3	53	자유스럽다
6	4	54	당당하다, 기죽는다
6	5	55	평온하다, 자유스럽다, 흥겹다
6	6	56	자유롭다, 상큼하다, 산뜻하다, 보기좋다
6	7	57	부끄럽다
6	8	58	편안하다
6	9	101	없음
6	10	60	신난다, 평화롭다
7	1	101	없음
7	2	101	없음
7	3	63	활기차다
7	4	64	유쾌하다
7	5	65	자유스럽다
7	6	66	생기있다
7	7	67	대단하다
7	8	101	없음
7	9	69	순수하다
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	74	희망차다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	귀찮다
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	90	가슴이답답하다
10	1	91	근심스럽다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	찜찜하다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	자유스럽다, 관대하다, 막막하다
