r	c	color	word
1	1	1	편안하다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	신난다, 아리다
1	6	6	먹먹하다
1	7	7	측은하다
1	8	8	안전하다
1	9	101	없음
1	10	10	흥겹다, 활기차다, 안전하다, 따뜻함을느낀다, 뿌듯하다
2	1	101	없음
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	15	온화하다, 사랑을느낀다
2	6	16	슬프다
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	감미롭다, 시원하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	24	안심된다
3	5	25	죄스럽다, 아리송하다
3	6	26	아련하다
3	7	27	서럽다
3	8	28	찜찜하다, 마음이가볍다
3	9	101	없음
3	10	30	활기차다
4	1	101	없음
4	2	101	없음
4	3	33	신난다
4	4	101	없음
4	5	35	흐뭇하다, 편안하다
4	6	36	기분이묘하다
4	7	37	소박하다
4	8	101	없음
4	9	39	즐겁다, 부럽다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	43	온화하다
5	4	44	미치겠다
5	5	45	생기있다
5	6	46	잔잔하다
5	7	101	없음
5	8	48	고맙다
5	9	101	없음
5	10	50	편안하다
6	1	101	없음
6	2	101	없음
6	3	101	없음
6	4	54	당당하다, 시원하다, 개운하다, 평화롭다
6	5	55	대단하다, 당황스럽다, 부드럽다, 생소하다
6	6	56	속상하다, 온화하다
6	7	57	캄캄하다, 당황하다
6	8	101	없음
6	9	101	없음
6	10	60	존경스럽다, 안쓰럽다, 평온하다, 안심된다
7	1	101	없음
7	2	101	없음
7	3	101	없음
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	67	평화롭다
7	8	101	없음
7	9	101	없음
7	10	70	평화롭다, 유감스럽다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	74	쌀쌀하다
8	5	101	없음
8	6	76	멍해진다
8	7	101	없음
8	8	78	보기좋다, 온화하다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	공허하다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	겁이나다, 평온하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	두렵다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	가슴이답답하다
