r	c	color	word
1	1	1	쾌활하다, 개운하다, 좋다
1	2	2	안심된다
1	3	101	없음
1	4	101	없음
1	5	5	다정하다, 생기있다
1	6	101	없음
1	7	7	평화롭다
1	8	8	황홀하다
1	9	9	산뜻하다
1	10	10	기분좋다, 상큼하다, 온화하다, 흐뭇하다, 산뜻하다, 즐겁다
2	1	11	마음이확열린다
2	2	101	없음
2	3	13	꼬였다
2	4	101	없음
2	5	15	명량하다
2	6	16	만족스럽다
2	7	101	없음
2	8	18	흡족하다
2	9	19	이상하다
2	10	20	신난다
3	1	101	없음
3	2	22	평온하다
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	26	안심된다, 평화롭다
3	7	101	없음
3	8	28	온화하다
3	9	29	생기있다
3	10	101	없음
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	35	의기양양하다
4	6	101	없음
4	7	37	평온하다
4	8	101	없음
4	9	39	답답하다
4	10	40	즐겁다
5	1	101	없음
5	2	101	없음
5	3	43	아찔하다
5	4	101	없음
5	5	45	대단하다, 한스럽다
5	6	101	없음
5	7	47	반갑다
5	8	101	없음
5	9	101	없음
5	10	50	놀라다
6	1	51	소름끼친다, 기분이묘하다
6	2	101	없음
6	3	53	자유스럽다
6	4	54	씩씩하다, 희망차다
6	5	55	선하다, 정직하다, 온화하다, 시원하다, 시원하다, 시원하다
6	6	56	상큼하다, 씩씩하다, 평온하다
6	7	101	없음
6	8	58	평온하다
6	9	101	없음
6	10	60	편안하다, 멋쩍다, 평온하다
7	1	101	없음
7	2	101	없음
7	3	63	불안하다, 씩식하다, 든든하다
7	4	64	확신감이든다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	생기있다
7	9	101	없음
7	10	70	그립다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	죽겠다, 공허하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	애처롭다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	캄캄하다, 자유롭다
