r	c	color	word
1	1	1	가슴이답답하다, 안좋다, 명랑하다
1	2	101	없음
1	3	3	속이끓는다, 화난다
1	4	101	없음
1	5	101	없음
1	6	6	걱정스럽다, 기쁘다
1	7	7	예쁘다
1	8	101	없음
1	9	101	없음
1	10	10	희망차다, 안전하다, 반갑다
2	1	11	신난다, 속이끓는다
2	2	101	없음
2	3	101	없음
2	4	14	든든하다, 괴롭다, 평온하다, 평온하다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	걱정스럽다
2	10	101	없음
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	상큼하다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	35	보기좋다, 놀랍다
4	6	101	없음
4	7	101	없음
4	8	38	긴장하다
4	9	39	생기있다
4	10	40	안타깝다
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	아찔하다, 귀찮다
5	6	46	즐겁다, 쑥스럽다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	기쁘다
6	1	51	편안하다, 한심하다
6	2	52	귀찮다
6	3	53	멋지다
6	4	54	멋있다, 멋있다
6	5	55	자신있다, 시원하다, 마음이넓다, 마음이넓다
6	6	101	없음
6	7	101	없음
6	8	58	보기좋다
6	9	101	없음
6	10	60	따뜻함을느낀다, 희망차다, 희망차다, 희망차다
7	1	101	없음
7	2	101	없음
7	3	101	없음
7	4	64	쓸쓸하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	다정하다
7	9	69	편안하다, 당당하다, 당당하다
7	10	70	어이없다, 평온하다
8	1	71	침통하다, 싫다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	안전하다
8	9	101	없음
8	10	80	뿌듯하다
9	1	101	없음
9	2	82	괴롭다
9	3	101	없음
9	4	84	공허하다
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	90	가슴이답답하다
10	1	91	캄캄하다, 기죽는다
10	2	92	혼란스럽다, 캄캄하다
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	막막하다, 신난다, 숨막힌다
