r	c	color	word
1	1	1	아찔하다, 놀라다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	고맙다, 겁에질리다, 씩씩하다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	9	먹먹하다
1	10	10	대단하다, 즐겁다, 온화하다, 걱정스럽다, 섬직하다, 유쾌하다
2	1	11	자신감을느낀다, 막막하다
2	2	101	없음
2	3	13	가슴이답답하다
2	4	101	없음
2	5	15	당당하다
2	6	16	귀찮다
2	7	101	없음
2	8	18	기분이묘하다
2	9	19	막막하다
2	10	101	없음
3	1	21	자유롭다
3	2	22	마음이넓다
3	3	101	없음
3	4	24	열받는다, 가슴벅차다
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	28	쓰리다, 즐겁다
3	9	29	가슴이답답하다
3	10	30	외롭다
4	1	31	관대하다
4	2	101	없음
4	3	101	없음
4	4	34	피가끓어오른다, 다정하다, 어이없다
4	5	101	없음
4	6	36	편안하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	온화하다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	약오르다, 평화롭다
5	6	46	가엽다, 마음이넓다, 다정하다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	101	없음
6	2	101	없음
6	3	53	마음이넓다
6	4	54	흥분된다
6	5	55	불쾌하다, 평온하다
6	6	56	훈훈하다
6	7	57	놀랍다
6	8	101	없음
6	9	101	없음
6	10	60	활기차다, 당당하다
7	1	61	기분이묘하다
7	2	101	없음
7	3	63	씩씩하다, 활발하다
7	4	64	씩씩하다, 산뜻하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	골치스럽다, 시원하다
7	9	69	활기차다
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	75	쓰리다, 관대하다
8	6	101	없음
8	7	101	없음
8	8	78	두렵다
8	9	101	없음
8	10	101	없음
9	1	81	어지럽다, 우울하다
9	2	101	없음
9	3	83	멍해진다
9	4	101	없음
9	5	101	없음
9	6	86	초조하다
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	처량하다, 자신있다, 걱정스럽다, 짜릿하다
10	2	92	처참하다
10	3	93	아득하다, 찜찜하다
10	4	101	없음
10	5	95	이상하다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	99	캄캄하다
10	10	101	없음
