r	c	color	word
1	1	101	없음
1	2	101	없음
1	3	3	생기있다
1	4	101	없음
1	5	5	관대하다, 다정하다
1	6	101	없음
1	7	7	부끄럽다
1	8	101	없음
1	9	101	없음
1	10	10	흥겹다, 평화롭다, 유쾌하다, 선하다, 산뜻하다
2	1	101	없음
2	2	12	기분좋다
2	3	13	기분좋다
2	4	101	없음
2	5	15	만족스럽다
2	6	16	캄캄하다
2	7	101	없음
2	8	18	희망차다
2	9	101	없음
2	10	20	평온하다, 관대하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	24	좋다
3	5	25	좋다
3	6	101	없음
3	7	27	온화하다
3	8	28	씩씩하다, 자유스럽다
3	9	29	소박하다, 자유스럽다
3	10	30	쾌활하다, 안심되다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	평온하다
4	5	101	없음
4	6	36	아득하다, 자유스럽다
4	7	37	안심된다, 기분좋다
4	8	38	선하다
4	9	39	뿌듯하다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	47	평화롭다
5	8	48	어지럽다
5	9	101	없음
5	10	50	안심된다
6	1	51	자유롭다
6	2	101	없음
6	3	53	자유스럽다
6	4	54	희망차다, 신난다, 시원하다, 서럽다, 편안하다
6	5	55	보기좋다, 신선하다, 시원하다
6	6	56	상큼하다, 안전하다, 시원하다
6	7	57	편안하다
6	8	58	편안하다
6	9	59	안심된다
6	10	60	안전하다
7	1	101	없음
7	2	101	없음
7	3	63	든든하다
7	4	64	멋지다, 자유스럽다, 좋다
7	5	101	없음
7	6	66	씩씩하다
7	7	67	자유스럽다
7	8	101	없음
7	9	69	편안하다
7	10	70	자유스럽다, 생기있다, 편안하다
8	1	71	자신있다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	75	관대하다
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	83	씩씩하다
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	90	당당하다, 안전하다
10	1	91	무섭다
10	2	92	평온하다
10	3	101	없음
10	4	94	평화롭다
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
