r	c	color	word
1	1	1	짜증난다
1	2	101	없음
1	3	101	없음
1	4	4	훈훈하다
1	5	5	생기있다
1	6	6	활기차다, 자신있다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	유쾌하다, 훈훈하다, 평화롭다
2	1	101	없음
2	2	12	혼란스럽다, 혼란스럽다
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	17	마음이무겁다, 마음이무겁다
2	8	101	없음
2	9	19	기쁘다
2	10	20	자유스럽다, 평화롭다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	흐뭇하다
3	8	101	없음
3	9	101	없음
3	10	30	뛸듯하다
4	1	101	없음
4	2	101	없음
4	3	33	배아프다
4	4	101	없음
4	5	35	후회스럽다
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	막막하다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	사랑을느낀다
6	1	101	없음
6	2	101	없음
6	3	53	대단하다, 걱정스럽다, 시원하다
6	4	54	배부르다, 시원하다, 당당하다
6	5	55	시원하다, 평온하다, 멋있다
6	6	56	자랑스럽다
6	7	101	없음
6	8	101	없음
6	9	101	없음
6	10	101	없음
7	1	101	없음
7	2	62	측은하다
7	3	101	없음
7	4	101	없음
7	5	65	당혹스럽다
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	69	뭐가뭔지모르겠다, 뭐가뭔지모르겠다, 의기양양하다
7	10	70	외롭다
8	1	71	착잡하다, 착잡하다
8	2	101	없음
8	3	101	없음
8	4	74	안좋다
8	5	101	없음
8	6	76	순수하다
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	관대하다
9	1	81	숨막힌다
9	2	101	없음
9	3	101	없음
9	4	84	캄캄하다
9	5	101	없음
9	6	86	쓰리다
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	90	숨막힌다, 삼빡하다
10	1	91	막막하다
10	2	92	캄캄하다
10	3	93	캄캄하다, 캄캄하다
10	4	94	걱정스럽다
10	5	95	허전하다, 불안하다, 싫다
10	6	96	불쾌하다, 한스럽다, 흡족하다
10	7	101	없음
10	8	98	막막하다, 숨막힌다
10	9	101	없음
10	10	101	없음
