tnum	tval	tname	tplateau
11	8	Organic Light-Emitting Devices	Two_to_five_years
18	28	WiMAX 802.16e-2005	Two_to_five_years
20	38	Near-Field Communication	Five_to_10_years
21	43	Femtocells	Two_to_five_years
27	73	Solar Power Mobile Devices	Five_to_10_years
27	73	Wireless Remote Display 60GHz and 5GHz	Five_to_10_years
29	83	OLED TVs	Two_to_five_years
32	93	Removable Solid-State Storage	Two_to_five_years
32	93	White Spaces:  Unlicensed Spectrum TV	Two_to_five_years
32	93	WiGig	Two_to_five_years
40	100	Floating Body DRAM	Two_to_five_years
45	98	Over-the-Top Set-Top Boxes	Five_to_10_years
48	95	Broadband-Connected Televisions	Five_to_10_years
48	95	Open-Source Communications	Less_than_two_years
48	95	PC-Grade Solid-State Drives	Two_to_five_years
49	93	Nonvolatile Memory Caching	Two_to_five_years
54	73	TD-LTE	Two_to_five_years
55	68	Continua v1.5	Five_to_10_years
56	62	Consumer Telepresence	More_than_10_years
56	62	Phase Change Memory	Two_to_five_years
63	35	Through-Silicon Vias	Less_than_two_years
68	26	High-Performance Multicore Application Processors	Two_to_five_years
73	20	Wi-Fi Personal-Area Networks	Two_to_five_years
83	13	Personal Navigation	Less_than_two_years
93	16	Magnetometer	Five_to_10_years
93	16	Rigid Disk Drives	Two_to_five_years
97	18	Mobile Devices in Bank Branches	Two_to_five_years
97	18	OLED Screens	Two_to_five_years
97	18	WiMAX 802.16m	Five_to_10_years
107	24	Mini-notebooks for Consumers	Less_than_two_years
107	24	Mobile TV Broadcasting	Two_to_five_years
113	28	Interoperable Storage Encryption	Two_to_five_years
127	38	GPS	Less_than_two_years
139	47	Mobile Sports and Fitness	Two_to_five_years
166	57	Data Encryption Technologies and Hard-Disk Drives	Two_to_five_years
