tnum	tval	tname	tplateau
7	5	Bioacoustic Sensing	More_than_10_years
14	13	HTTP 2.0	More_than_10_years
16	18	Business Analytics PaaS	Five_to_10_years
16	18	Cloud Computing  for Manufacturing Operations	More_than_10_years
16	18	Personal Cloud Entertainment Platforms	Five_to_10_years
16	18	Platform as a Service in China	Five_to_10_years
17	23	"Controller-Free, Gesture-Driven Applications for ERP"	Five_to_10_years
17	23	Web Real-Time Communications	Two_to_five_years
18	28	Comprehensive PaaS	Two_to_five_years
20	38	Big Data for Healthcare and Life Science Research	Five_to_10_years
20	38	Cloud UXP Services	Five_to_10_years
20	38	Media-Embedded Merchandising	Five_to_10_years
20	38	Web-Based Office Productivity Suites	Five_to_10_years
21	43	Cloud MOM Services	Two_to_five_years
21	43	Community Cloud	Two_to_five_years
21	43	Enterprise-Class Agile Development	More_than_10_years
21	43	Financial Services Industry Architecture Frameworks	More_than_10_years
21	43	Tangible User Interfaces	More_than_10_years
22	48	Model-/Policy-Based Software Architecture Design Tools	Five_to_10_years
22	48	OAuth	Five_to_10_years
23	53	Cloud Computing in PLM and Manufacturing	Five_to_10_years
23	53	Cloud-Driven Business and IT Services	Five_to_10_years
23	53	Server Software Appliance	Two_to_five_years
23	53	User Experience Platforms	Five_to_10_years
23	53	Video Chat for Customer Support	Five_to_10_years
24	58	Cloud Transaction Processing	Five_to_10_years
24	58	Multihypervisor Virtualization Management	Two_to_five_years
24	58	Servers Using Flash Memory as Additional Memory Type	Five_to_10_years
25	63	Agent Collaboration Tools	Five_to_10_years
25	63	Portal PaaS	Five_to_10_years
26	68	Citizen Data Vaults	More_than_10_years
26	68	Cloud Computing	Five_to_10_years
27	73	Cloud Services Brokerage	Five_to_10_years
27	73	Hybrid Unified Communications and Collaboration	Five_to_10_years
27	73	Presence Federation	Five_to_10_years
27	73	Smart Governance Operating Framework	Two_to_five_years
28	78	Cloud Application Development Services	Five_to_10_years
28	78	Desktop Virtualization	Five_to_10_years
28	78	Ensemble Interactions	Five_to_10_years
28	78	Simultaneous Co-Editing Tools	Five_to_10_years
28	78	Virtual Machine Resilience	Two_to_five_years
29	83	Customer Interaction Hub	Obsolete_before_Plateau
29	83	Employee Use of Social Media in Government	Two_to_five_years
29	83	Expertise Location and Management	Two_to_five_years
29	83	Intelligent Business Operations	Two_to_five_years
29	83	Natural-Language Question Answering	Five_to_10_years
29	83	Proactive Support	Two_to_five_years
29	83	Transcoderless and Software-Based Videoconferencing Infrastructure	Two_to_five_years
30	88	Citizen Developers	Five_to_10_years
30	88	Citizen Developers	Five_to_10_years
30	88	Integration PaaS	Two_to_five_years
