r	c	color	word
1	1	1	놀랍다, 열망을느낀다
1	2	2	속상하다
1	3	101	없음
1	4	101	없음
1	5	5	아름답다, 자유스럽다, 가슴이아프다
1	6	6	싫다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	평온하다, 우울하다
2	1	101	없음
2	2	12	후회스럽다
2	3	101	없음
2	4	101	없음
2	5	15	부끄럽다, 다정하다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	편안하다, 훈훈하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	24	가엾다
3	5	25	따뜻함을느낀다
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	겁이난다
4	1	101	없음
4	2	101	없음
4	3	33	유감스럽다
4	4	101	없음
4	5	35	사랑스럽다
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	39	서럽다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	상냥하다, 불안하다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	생기있다, 유감스럽다, 유감스럽다, 막막하다
6	2	52	기죽는다
6	3	101	없음
6	4	54	울적하다, 생기있다
6	5	55	아련하다
6	6	56	편안하다, 대단하다
6	7	101	없음
6	8	58	처참하다
6	9	101	없음
6	10	101	없음
7	1	101	없음
7	2	62	우울하다
7	3	101	없음
7	4	64	어이없다, 든든하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	편안하다, 반감이든다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	서럽다
9	1	81	측은하다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	가슴이찢어진다
9	6	86	가엾다
9	7	101	없음
9	8	101	없음
9	9	89	안전하다
9	10	90	가슴이답답하다, 밉다, 안전하다
10	1	91	걱정스럽다, 공허하다
10	2	101	없음
10	3	93	착잡하다
10	4	94	막막하다
10	5	101	없음
10	6	96	측은하다, 걱정스럽다, 순수하다, 아련하다
10	7	97	평화롭다, 성질난다
10	8	98	아리다
10	9	101	없음
10	10	100	불안하다, 착잡하다, 쓸쓸하다
