tnum	tval	tname	tplateau
7	5	Bioacoustic Sensing	More_than_10_years
11	8	Cloud Management Platform	Two_to_five_years
11	8	Virtual Personal Assistants	Five_to_10_years
14	13	Cognitive Computing	Five_to_10_years
14	13	OpenID Connect	Five_to_10_years
14	13	OpenID Connect	Five_to_10_years
16	18	Smart Machines in Government	Five_to_10_years
17	23	Limited Disclosure Technology	More_than_10_years
17	23	Video Chat	Five_to_10_years
18	28	3D Video Telepresence	More_than_10_years
18	28	Cloud Integrated Infrastructure Services (CIIS)	Two_to_five_years
18	28	IoT Platform	Five_to_10_years
18	28	Operational Intelligence Platforms	Five_to_10_years
18	28	Software-Defined Compute	Five_to_10_years
19	33	HTTP 2.0	Five_to_10_years
20	38	Embedded Software and Systems Security	More_than_10_years
20	38	JavaScript everywhere	Five_to_10_years
21	43	Cloud/Client Computing	Five_to_10_years
21	43	Internet of Things in Insurance	More_than_10_years
21	43	Self-Service Data Integration	Two_to_five_years
21	43	Software-Defined Anything	Five_to_10_years
22	48	Citizen e-ID	Five_to_10_years
22	48	Cloud Event Processing Services	Five_to_10_years
22	48	Multi-Purpose PaaS	Two_to_five_years
22	48	Personal Wellness Records	Five_to_10_years
23	53	Digital Government Platforms	Two_to_five_years
23	53	EA Consultancies	Two_to_five_years
23	53	Education Tablet	Five_to_10_years
23	53	Enterprise Social Graph	Five_to_10_years
23	53	Media-Embedded Merchandising	Five_to_10_years
23	53	Tangible User Interfaces	More_than_10_years
24	58	Cloud IMDG Services	Two_to_five_years
24	58	Hybrid Integration Platform	Five_to_10_years
25	63	IT/OT Convergence and Alignment in Oil and Gas	Five_to_10_years
25	63	Mashups	Two_to_five_years
25	63	R&D Cloud Collaboration	Two_to_five_years
26	68	Cloud UXP Services	More_than_10_years
27	73	Agile Workplace Solutions	Five_to_10_years
27	73	Hybrid Unified Communications and Collaboration	Five_to_10_years
27	73	Internal CSB	Five_to_10_years
27	73	Muscle-Computer Interface	More_than_10_years
27	73	Presence Federation	Five_to_10_years
27	73	Web-Scale Transaction Processing	Five_to_10_years
28	78	Big Data for U.S. Healthcare Payers	Five_to_10_years
28	78	Bring Your Own App (BYOA)	Two_to_five_years
28	78	Ensemble Interactions	More_than_10_years
28	78	Platform as a Service in China	Two_to_five_years
28	78	Server-Side JavaScript	Five_to_10_years
28	78	Video Chat for Customer Service	Two_to_five_years
29	83	Business Analytics PaaS (baPaaS)	Two_to_five_years
29	83	Business User Data Mashup and Modeling	Less_than_two_years
29	83	Citizen Developers	Five_to_10_years
